lon,lat
-32.38331,-3.81297
-32.38253,-3.81294
-32.38211,-3.8125
-32.38333,-3.81131
-32.38503,-3.81131
-32.38669,-3.80964
-32.38756,-3.81044
-32.38836,-3.81044
-32.39086,-3.80792
-32.39167,-3.80792
-32.39292,-3.80917
-32.39208,-3.80997
-32.39208,-3.81083
-32.39253,-3.81131
-32.39419,-3.81131
-32.39497,-3.81211
-32.39583,-3.81211
-32.39711,-3.81336
-32.39794,-3.82169
-32.3975,-3.82211
-32.39583,-3.82211
-32.39503,-3.82131
-32.39417,-3.82131
-32.39292,-3.82003
-32.39292,-3.81922
-32.39339,-3.81878
-32.39583,-3.81878
-32.39669,-3.81958
-32.3975,-3.81958
-32.39789,-3.81997
-32.39794,-3.82169
-32.44625,-3.84919
-32.44586,-3.84958
-32.445,-3.84958
-32.44419,-3.85044
-32.44333,-3.85044
-32.44294,-3.85
-32.44381,-3.84919
-32.44381,-3.84839
-32.44419,-3.84792
-32.44586,-3.84792
-32.44625,-3.84839
-32.44625,-3.84919
-32.38378,-3.80836
-32.38253,-3.80964
-32.38086,-3.80964
-32.38042,-3.80922
-32.38125,-3.80836
-32.37961,-3.80669
-32.38086,-3.80544
-32.38172,-3.80544
-32.38292,-3.80669
-32.38292,-3.8075
-32.38378,-3.80836
-32.40461,-3.86336
-32.40422,-3.86375
-32.4025,-3.86375
-32.40208,-3.86336
-32.40211,-3.86169
-32.4025,-3.86128
-32.40336,-3.86128
-32.40461,-3.86256
-32.40461,-3.86336
-32.40544,-3.82919
-32.40503,-3.82958
-32.40417,-3.82958
-32.40292,-3.82836
-32.40292,-3.8275
-32.40333,-3.82711
-32.40419,-3.82711
-32.40544,-3.82836
-32.40544,-3.82919
-32.39708,-3.82583
-32.39669,-3.82633
-32.39503,-3.82633
-32.39464,-3.82583
-32.39464,-3.82417
-32.39503,-3.82378
-32.39583,-3.82378
-32.39708,-3.82503
-32.39708,-3.82583
-32.41875,-3.83917
-32.41836,-3.83958
-32.41756,-3.83958
-32.41711,-3.83917
-32.41711,-3.83836
-32.41756,-3.83792
-32.41836,-3.83792
-32.41875,-3.83836
-32.41875,-3.83917
-32.44211,-3.87503
-32.44172,-3.87544
-32.44086,-3.87544
-32.43961,-3.87417
-32.43961,-3.87336
-32.44,-3.87292
-32.44086,-3.87292
-32.44211,-3.87417
-32.44211,-3.87503
-32.42292,-3.8725
-32.42086,-3.87461
-32.42,-3.87461
-32.41958,-3.87422
-32.41958,-3.87336
-32.42086,-3.87208
-32.4225,-3.87208
-32.42292,-3.8725
-32.43881,-3.87583
-32.43833,-3.87631
-32.43669,-3.87631
-32.43544,-3.87503
-32.43589,-3.87458
-32.4375,-3.87458
-32.43881,-3.87583
-32.40128,-3.82919
-32.40006,-3.83044
-32.39919,-3.83044
-32.39708,-3.82836
-32.39756,-3.82792
-32.4,-3.82792
-32.40128,-3.82919
